,Unnamed: 0,Date,EXCHCD,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,vwretx,mid_price,buyer_seller_init,effective_cost,quoted,prop_quoted,effective,prop_effective
53,1031623,2019-03-20,3.0,INTC,INTEL CORP,53.61,54.4,53.82,24274980.0,-0.006461,4498668.0,54.06,-0.0032649999999999997,54.004999999999995,0,0.003425608739931399,0.7899999999999991,0.01462827515970742,0.36999999999999034,0.006874767744332782
54,1031624,2019-03-21,3.0,INTC,INTEL CORP,53.84,54.99,54.64,19088483.0,0.015236000000000001,4498668.0,53.92,0.010215,54.415000000000006,1,0.004134889276853704,1.1499999999999986,0.02113387852614166,0.44999999999998863,0.008235724743777244
55,1031625,2019-03-22,3.0,INTC,INTEL CORP,53.21,54.615,53.26,21427490.0,-0.025256,4498668.0,54.4,-0.020391,53.9125,0,0.012102944586135004,1.4050000000000011,0.026060746580106674,1.3050000000000068,0.024502440856177372
56,1031626,2019-03-25,3.0,INTC,INTEL CORP,52.375,53.545,52.78,16948334.0,-0.009012000000000001,4498668.0,52.97,-0.00040899999999999997,52.96,0,0.003398791540785493,1.1700000000000017,0.02209214501510577,0.35999999999999943,0.0068207654414550855
57,1031627,2019-03-26,3.0,INTC,INTEL CORP,53.04,53.77,53.44,17705614.0,0.012505,4498668.0,53.32,0.007708,53.405,1,0.0006553693474393145,0.730000000000004,0.01366913210373568,0.06999999999999318,0.0013098802395208305
58,1031628,2019-03-27,3.0,INTC,INTEL CORP,52.94,53.86,53.16,19636473.0,-0.005239,4498668.0,53.59,-0.004711,53.4,0,0.004494382022471948,0.9200000000000017,0.01722846441947569,0.480000000000004,0.009029345372460572
59,1031629,2019-03-28,3.0,INTC,INTEL CORP,52.77,53.44,53.11,13578581.0,-0.000941,4498668.0,53.25,0.0038229999999999996,53.105000000000004,1,9.415309292901708e-05,0.6699999999999946,0.012616514452499662,0.009999999999990905,0.0001882884579173584
60,1031630,2019-03-29,3.0,INTC,INTEL CORP,53.48,54.04,53.7,18718414.0,0.011109,4477000.0,53.8,0.005972,53.76,0,0.0011160714285713387,0.5600000000000023,0.01041666666666671,0.11999999999999034,0.0022346368715081997
61,1031631,2019-04-01,3.0,INTC,INTEL CORP,54.1,54.57,54.51,17817815.0,0.015084,4477000.0,54.34,0.011159,54.335,1,0.003220760099383402,0.46999999999999886,0.008650041409772685,0.3499999999999943,0.006420840212804886
62,1031632,2019-04-02,3.0,INTC,INTEL CORP,54.225,54.8,54.36,13680032.0,-0.002752,4477000.0,54.53,-0.00018,54.5125,0,0.0027975235037835983,0.5749999999999957,0.01054803944049522,0.3050000000000068,0.005610743193524776
63,1031633,2019-04-03,3.0,INTC,INTEL CORP,54.89,55.99,55.48,24524698.0,0.020603,4477000.0,55.03,0.002535,55.44,1,0.0007215007215007061,1.1000000000000014,0.019841269841269868,0.0799999999999983,0.001441961067051159
64,1031634,2019-04-04,3.0,INTC,INTEL CORP,55.27,56.14,55.92,16487053.0,0.007931,4477000.0,55.27,0.0017760000000000002,55.705,1,0.0038596176285791836,0.8699999999999974,0.015617987613320124,0.4300000000000068,0.00768955650929912
65,1031635,2019-04-05,3.0,INTC,INTEL CORP,54.87,55.95,55.6,19240943.0,-0.005722,4477000.0,55.75,0.00511,55.41,1,0.003428983937917431,1.0800000000000054,0.019491066594477628,0.38000000000000966,0.006834532374100893
66,1031636,2019-04-08,3.0,INTC,INTEL CORP,55.2,55.74,55.68,11738482.0,0.001439,4477000.0,55.28,0.001025,55.47,1,0.003785830178474867,0.5399999999999991,0.009734991887506745,0.4200000000000017,0.007543103448275893
67,1031637,2019-04-09,3.0,INTC,INTEL CORP,54.9,55.43,55.32,13317377.0,-0.0064659999999999995,4477000.0,55.35,-0.0065060000000000005,55.165,1,0.002809752560500338,0.5300000000000011,0.009607541013323687,0.3100000000000023,0.005603759942154777
68,1031638,2019-04-10,3.0,INTC,INTEL CORP,55.32,55.86,55.75,13046962.0,0.007773,4477000.0,55.32,0.0047090000000000005,55.59,1,0.002878215506385979,0.5399999999999991,0.00971397733405287,0.3199999999999932,0.005739910313901223
69,1031639,2019-04-11,3.0,INTC,INTEL CORP,55.63,56.07,55.8,10817786.0,0.000897,4477000.0,55.76,-0.000139,55.85,0,0.0008952551477171757,0.4399999999999977,0.007878245299910434,0.10000000000000853,0.0017921146953406547
70,1031640,2019-04-12,3.0,INTC,INTEL CORP,55.84,56.49,56.42,12877768.0,0.011111,4477000.0,56.21,0.006340999999999999,56.165000000000006,1,0.004540194071040602,0.6499999999999986,0.011573043710495834,0.5099999999999909,0.009039347749025007
71,1031641,2019-04-15,3.0,INTC,INTEL CORP,55.92,56.555,56.28,11659046.0,-0.0024809999999999997,4477000.0,56.46,-0.0010429999999999999,56.2375,1,0.0007557234941098729,0.634999999999998,0.011291398088464069,0.08500000000000796,0.001510305614783368
