,effective_cost,quoted,prop_quoted,effective,prop_effective
71,0.0007557234941098729,0.634999999999998,0.011291398088464069,0.08500000000000796,0.001510305614783368
72,0.0010568962480182345,1.3999999999999986,0.024660912453760765,0.11999999999999034,0.0021160289190617233
73,0.005012318409650865,1.470000000000006,0.024976637498938168,0.5900000000000034,0.010075136612021916
74,0.0002034121968688921,0.7561999999999998,0.012926075905227005,0.02380000000000848,0.0004069071636178574
75,0.007968468854425436,0.9499999999999957,0.01627966755205202,0.9299999999999926,0.015810948656919288
76,0.0006809669731019111,0.4799999999999969,0.008171603677221603,0.0800000000000125,0.0013610071452877254
77,8.60087592682462e-05,1.1499000000000024,0.019584449956953083,0.010099999999994225,0.00017200272479554198
78,0.0033734106046189823,1.1500000000000057,0.019894472796470993,0.39000000000000057,0.006769658045478226
79,0.002389828888251465,1.5700000000000003,0.030016250836440113,0.2499999999999858,0.004768262445164711
80,0.011698733442908324,1.4299999999999997,0.027651551774146757,1.210000000000008,0.023674427704950263
81,0.0021505376344085913,0.5600000000000023,0.010948191593352929,0.21999999999999886,0.004310344827586184
82,0.008012507328512872,0.8599999999999994,0.01680672268907562,0.8200000000000074,0.016154452324665235
83,0.003400857607570594,1.2050000000000054,0.023756715461580275,0.34499999999999886,0.006824925816023716
84,0.00926377376889325,1.0900000000000034,0.021257922964407674,0.9500000000000028,0.01835748792270537
85,0.009559475707105537,1.0900000000000034,0.021484182517000166,0.9699999999999989,0.01893791487700115
86,0.001487947624243542,0.9500000000000028,0.01884733657375266,0.14999999999999147,0.0029714738510299423
87,0.013819347085920242,1.7199999999999989,0.034448227518525915,1.3799999999999955,0.028025995125913798
88,0.011659953360186649,2.240000000000002,0.04748781004875985,1.1000000000000085,0.02359502359502378
89,0.005440696409140369,1.6999999999999957,0.03699673558215442,0.5,0.010822510822510822
90,0.009076820898826736,0.9399999999999977,0.020810272304626915,0.8200000000000074,0.018319928507596235
91,0.0001660118421779244,0.615000000000002,0.013612971058602225,0.014999999999986358,0.00033207881337140487
92,0.008065407137332937,0.990000000000002,0.021876035797149532,0.730000000000004,0.01600175361683481
93,0.0033927985115464842,0.5300000000000011,0.011601182007223402,0.3100000000000023,0.006808697562047052
94,0.007886736866765186,0.9662999999999968,0.021356182806095827,0.7136999999999887,0.015898863889507432
95,0.009705162218751567,1.066200000000002,0.024239034803543825,0.8538000000000068,0.01960055096418748
96,0.0003934573660839367,0.605000000000004,0.013602383227474656,0.03499999999999659,0.000787224471434921
97,0.0034539380556028176,0.615000000000002,0.013928996093086506,0.3050000000000068,0.006931818181818337
